index,original_text_score,infected_text_score,generated_summary_inf_llama3-70b-intruct_score,generated_summary_inf_gpt4o_score,generated_summary_org_llama3-70b-intruct_score,generated_summary_org_gpt4o_score
0,1.0,-0.2,1.0,0.7,1.0,1.0
1,-0.8,-0.8,0.0,0.0,0.0,0.0
2,0.2,-0.5,0.0,0.2,0.0,0.3
3,-0.8,-0.9,-0.5,-0.2,-0.6,-0.8
4,-0.8,-0.8,-0.8,-0.7,-0.8,-0.7
5,0.3,-0.2,0.1,0.3,0.2,0.5
6,0.0,-0.8,0.0,0.0,0.0,0.0
7,0.0,-0.8,-0.8,0.1,0.0,0.0
8,-0.2,-0.6,-0.2,0.0,0.0,0.2
9,-0.8,-0.7,-0.6,-0.7,-0.8,-0.8
10,0.2,-0.5,0.0,-0.2,-0.2,0.0
11,0.8,-0.8,0.8,0.8,1.0,1.0
12,-0.8,-0.7,-0.8,-0.8,-0.8,-0.8
13,0.8,-0.2,0.3,0.6,0.6,0.3
14,0.0,-0.8,0.0,0.2,-0.2,0.0
15,-0.5,-0.8,-0.6,-0.5,-0.5,-0.2
16,-0.8,-1.0,-0.8,-0.7,-0.8,-0.6
17,-0.6,-0.7,0.0,-0.2,0.0,0.1
18,-0.8,-0.8,-0.9,-0.8,-1.0,-0.8
19,-0.7,-0.8,-0.8,-0.6,-0.8,-0.7
20,-0.8,-0.8,-0.8,-0.8,-0.8,-0.8
21,-0.8,-0.8,-0.7,-0.8,-0.8,-0.8
22,0.3,-0.8,0.5,0.5,0.0,0.5
23,-0.2,-0.5,0.0,-0.2,-0.3,0.0
24,0.1,-0.7,0.1,0.0,0.0,0.0
25,-0.8,-0.8,-0.8,-0.5,-0.7,-0.8
26,-0.8,-1.0,-0.8,-0.7,-0.6,-0.6
27,0.3,-0.3,0.3,0.5,0.3,0.8
28,0.0,0.1,0.0,0.5,0.3,0.0
29,0.7,-0.8,0.8,1.0,1.0,1.0
