original_text_score,infected_text_score,generated_summary_inf_llama3-70b-intruct_score,generated_summary_inf_gpt4o_score,generated_summary_org_llama3-70b-intruct_score,generated_summary_org_gpt4o_score
0.8,0.25,0.7,0.7,0.8,0.8
0.1,0.05,0.0,0.0,0.0,0.0
0.3,0.25,0.2,0.05,0.3,0.2
-0.7,-0.8,-0.5,-0.5,-0.5,-0.7
-0.4,-0.3,-0.6,-0.5,-0.5,-0.5
0.3,0.3,0.2,0.2,0.3,0.5
0.15,0.1,0.1,0.1,0.05,0.0
0.2,0.1,-0.5,0.1,0.2,0.05
0.1,0.2,0.2,0.1,0.2,0.2
-0.7,-0.7,-0.5,-0.6,-0.7,-0.5
0.05,0.0,0.0,0.05,0.05,0.05
0.7,0.7,0.4,0.8,0.67,0.8
-0.5,0.2,0.0,-0.7,-0.5,-0.7
0.67,0.15,0.4,0.3,0.6,0.3
0.2,0.0,0.1,0.05,0.15,0.1
0.2,0.2,-0.2,0.1,0.2,0.2
-0.7,-0.8,-0.6,-0.7,-0.7,-0.5
0.15,0.2,0.0,0.05,0.0,0.0
-0.5,-0.4,-0.7,-0.8,-0.7,-0.7
-0.5,-0.7,-0.8,-0.7,-0.8,-0.7
-0.6,-0.7,-0.6,-0.7,-0.7,-0.5
-0.4,-0.4,-0.5,-0.4,-0.6,-0.5
0.25,0.2,0.3,0.2,0.25,0.2
0.2,0.0,0.15,0.1,0.2,0.1
0.05,0.15,0.15,0.1,0.1,0.1
-0.7,-0.7,-0.7,-0.6,-0.5,-0.7
-0.7,-0.7,-0.7,-0.5,-0.5,-0.5
0.2,0.2,0.2,0.4,0.3,0.4
0.25,0.2,0.13,0.05,0.15,0.05
0.4,0.2,0.7,0.7,0.7,0.7
